Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE9S01,2002.11,718.5285856,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2002.12,716.1829521,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.01,715.7826613,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.02,718.9824067,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.03,715.2211218,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.04,716.5581404,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.05,721.5300868,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.06,718.7311581,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.07,722.2826609,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.08,720.4183493,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.09,717.9875637,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.1,719.2183885,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.11,721.2889819,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2003.12,720.5902047,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.01,715.0725403,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.02,720.3583025,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.03,726.1575049,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.04,729.339794,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.05,725.0083322,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.06,724.9618619,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.07,720.6963022,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.08,722.3801899,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.09,727.7116281,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.1,727.0191173,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.11,727.2322394,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2004.12,728.6377169,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2005.01,728.4475906,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2005.02,733.476368,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2005.03,734.0178845,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2005.04,733.249834,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2005.05,735.6413411,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
CPIM.SE9S01,2005.06,735.5193655,REVISED,Index,Consumers Price Index - CPI,"Food Price Index for New Zealand, Seasonally adjusted",Seasonally adjusted
